name,authors,year,paper,repository,download_link,license,citation,n_videos,vocabulary_size,continuous_or_isolated,modalities,resolution,fps,n_signers,language,downloadable,preprocessing_required,redistribution,notes,status
INCLUDE,"Sridhar, Ganesan, Kumar, Khapra (AI4Bharat / IIT Madras)",2020,https://doi.org/10.1145/3394171.3413528,https://github.com/AI4Bharat/INCLUDE,https://zenodo.org/records/4010759,CC-BY-4.0,"@inproceedings{sridhar_include_2020,...}",4292,263 (INCLUDE-50: 50),isolated,RGB,varies,varies,"multiple (St. Louis School for the Deaf, Chennai)",Indian Sign Language,yes,varies,allowed_with_attribution,Category zip files on Zenodo; train/test CSVs included,discovered
CISLR,"Joshi, Bhat, S, Gole, Gupta, Agarwal, Modi",2022,https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,research (see HF card),"@inproceedings{cislr-2022,...}",~7050,~4765,isolated,RGB (+ I3D features),varies (YouTube / dictionary sources),varies,~71,Indian Sign Language,yes,varies,check_license,Scraped from ISLRTC + indiansignlanguage.org YouTube dictionaries,discovered
iSign / ISLTranslate,Joshi et al. (Exploration-Lab),2024,https://aclanthology.org/2024.findings-acl.643,https://huggingface.co/datasets/Exploration-Lab/iSign,https://huggingface.co/datasets/Exploration-Lab/iSign,research non-commercial,"@inproceedings{iSign-2024,...}",~118k video-text pairs (includes continuous),large (sentence/phrase),continuous (+ includes CISLR isolated),RGB + pose,varies,varies,many (YouTube),Indian Sign Language,yes,varies,research_only_no_commercial,Continuous translation; isolated via CISLR subset,discovered
ISL-DATA (ISL500),ISL500,2025,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,see HF card,ISL500/ISL-DATA Hugging Face,~7500,500,isolated,RGB + MediaPipe + MMPose,controlled,controlled,15,Indian Sign Language,yes,varies,check_license,,discovered
ISLRTC Indian Sign Language Dictionary (data.gov.in),"ISLRTC, Government of India",2024,,https://www.data.gov.in/resource/indian-sign-language-dictionary-till-january-2024,https://huggingface.co/datasets/Vignesh3816/Indian_Sign_Language_Data.gov_Rencoded,Government open data / MIT re-encode (check both),ISLRTC Indian Sign Language Dictionary,thousands (dictionary clips),"large (words, alphabets, numbers)",isolated,RGB (H.265 re-encode ~75GB),varies,varies,dictionary signers,Indian Sign Language,yes,varies,check_data_gov_terms,Official dictionary; CISLR also derives from this source — expect overlap,discovered
ISL-CSLTR,"Elakkiya R, Natarajan B",2021,Mendeley Data 10.17632/kcmpdxky7p,https://data.mendeley.com/datasets/kcmpdxky7p/1,https://data.mendeley.com/datasets/kcmpdxky7p/1,CC-BY-4.0,Elakkiya & Natarajan 2021,700 (+ word-level images),100 sentences,continuous,RGB,DSLR,varies,7,Indian Sign Language,yes,varies,check_license,Sentence-level; less useful for isolated word extraction without segmentation,discovered
ISL-50,Surbhi Maheshwari (01surbhi),2025,https://doi.org/10.5281/zenodo.18679858,https://zenodo.org/records/18679858,https://drive.google.com/file/d/14HhiA4ki2x0_FO_YcRy-XiAR-g-O-bmk/view,academic/research only,ISL-50 Zenodo,800,50,isolated,RGB (.mov),720p,varies,4,Indian Sign Language,yes,varies,research_only,,discovered
ISL-52,01surbhi,2025,https://doi.org/10.5281/zenodo.18679890,https://zenodo.org/records/18679890,Google Drive (see Zenodo),academic/research only,ISL-52 Zenodo,832,52,isolated,RGB (.mov),720p,varies,4,Indian Sign Language,yes,varies,research_only,May overlap heavily with ISL-50,discovered
IIITA-ROBITA ISL Gesture Database,"Nandy, Mondal, Prasad, Chakraborty, Nandi (IIIT Allahabad)",2010,ICCCT-10 / Springer LNCS-CCIS 2010,https://robita.iiita.ac.in/dataset.php,https://robita.iiita.ac.in/dataset.php,copyright IIITA-ROBITA (request access),Nandy et al. 2010,23 gesture categories (frame sequences),23,isolated,RGB frames,320x240,30,lab collection,Indian Sign Language,request,varies,restricted,Access via lab; not bulk-downloadable without permission,restricted
